origin,Organism/Name,kingdom,phylum,class,order,family,subfamily,genus
RefSeq-v207,Sphingomonas phage PAU,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,,
RefSeq-v207,Sphingomonas phage Scott,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,,Scottvirus
RefSeq-v207,Spiroplasma phage C74,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Plectroviridae,,Vespertiliovirus
RefSeq-v207,Spiroplasma phage R8A2B,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Plectroviridae,,Vespertiliovirus
RefSeq-v207,Spiroplasma phage SVTS2,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Plectroviridae,,Suturavirus
RefSeq-v207,Spiroplasma virus SkV1CR23x,Loebvirae,Hofneiviricota,Faserviricetes,Tubulavirales,Plectroviridae,,Vespertiliovirus
RefSeq-v207,Spiroplasma virus SpV4,Sangervirae,Phixviricota,Malgrandaviricetes,Petitvirales,Microviridae,Gokushovirinae,Spiromicrovirus
RefSeq-v207,Staphylococcus phage 23MRA,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bronfenbrennervirinae,Biseptimavirus
RefSeq-v207,Staphylococcus phage 2638A,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Fibralongavirus
RefSeq-v207,Staphylococcus phage 3 AJ-2017,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Bronfenbrennervirinae,Peeveelvirus
RefSeq-v207,Staphylococcus phage 3MRA,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Azeredovirinae,Phietavirus
RefSeq-v207,Staphylococcus phage 66,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Rountreeviridae,Rakietenvirinae,Rosenblumvirus
RefSeq-v207,Staphylococcus phage 676Z,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus
RefSeq-v207,Staphylococcus phage 6ec,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Sextaecvirus
RefSeq-v207,Staphylococcus phage 812,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus
RefSeq-v207,Staphylococcus phage A3R,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus
RefSeq-v207,Staphylococcus phage A5W,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus
RefSeq-v207,Staphylococcus phage Andhra,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Rountreeviridae,Rakietenvirinae,Andhravirus
RefSeq-v207,Staphylococcus phage B166,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Azeredovirinae,Phietavirus
RefSeq-v207,Staphylococcus phage B236,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Azeredovirinae,Phietavirus
RefSeq-v207,Staphylococcus phage BP39,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Rountreeviridae,Rakietenvirinae,Rosenblumvirus
RefSeq-v207,Staphylococcus phage CNPx,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,,Rockefellervirus
RefSeq-v207,Staphylococcus phage CSA13,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Rountreeviridae,Rakietenvirinae,Rosenblumvirus
RefSeq-v207,Staphylococcus phage DW2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Azeredovirinae,Phietavirus
RefSeq-v207,Staphylococcus phage Fi200W,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus
RefSeq-v207,Staphylococcus phage G15,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus
RefSeq-v207,Staphylococcus phage GRCS,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Rountreeviridae,Rakietenvirinae,Rosenblumvirus
RefSeq-v207,Staphylococcus phage HSA84,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Azeredovirinae,Dubowvirus
RefSeq-v207,Staphylococcus phage Henu2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Azeredovirinae,Phietavirus
RefSeq-v207,Staphylococcus phage IME-SA1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Herelleviridae,Twortvirinae,Kayvirus
