origin,Organism/Name,kingdom,phylum,class,order,family,genus
RefSeq-v211,Bacteroides phage B40-8,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
RefSeq-v211,Escherichia virus RB43,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Pseudotevenvirus
RefSeq-v211,His 1 virus,,,,,Halspiviridae,Salterprovirus
RefSeq-v211,His2 virus,Trapavirae,Saleviricota,Huolimaviricetes,Haloruvirales,Pleolipoviridae,Gammapleolipovirus
RefSeq-v211,Roseobacter phage SIO1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Zobellviridae,Siovirus
RefSeq-v211,Rhodothermus phage RM378,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,
RefSeq-v211,Synechococcus phage P60,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Tiilvirus
RefSeq-v211,Sulfolobus islandicus filamentous virus,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Betalipothrixvirus
RefSeq-v211,Pseudomonas phage 201phi2-1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,
RefSeq-v211,Mycobacterium phage Rosebush,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Rosebushvirus
RefSeq-v211,Mycobacterium phage Corndog,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Corndogvirus
RefSeq-v211,Mycobacterium phage Bxz1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Bixzunavirus
RefSeq-v211,Mycobacterium phage Barnyard,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Barnyardvirus
RefSeq-v211,Burkholderia phage Bcep781,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Naesvirus
RefSeq-v211,Mycobacterium phage PG1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Pegunavirus
RefSeq-v211,Aeromonas phage Aeh1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,
RefSeq-v211,Streptococcus virus C1,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Rountreeviridae,Fischettivirus
RefSeq-v211,Aeromonas phage 25,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Tulanevirus
RefSeq-v211,Acidianus filamentous virus 1,Zilligvirae,Taleaviricota,Tokiviricetes,Ligamenvirales,Lipothrixviridae,Gammalipothrixvirus
RefSeq-v211,Burkholderia phage BcepNazgul,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Casjensviridae,Nazgulvirus
RefSeq-v211,Burkholderia phage phi1026b,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Stanholtvirus
RefSeq-v211,Aeromonas phage 65,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Ishigurovirus
RefSeq-v211,Burkholderia phage Bcep43,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Naesvirus
RefSeq-v211,Burkholderia phage BcepMu,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Bcepmuvirus
RefSeq-v211,Pyrobaculum spherical virus,,,,,Globuloviridae,Alphaglobulovirus
RefSeq-v211,Pseudomonas phage PaP2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,
RefSeq-v211,Actinoplanes phage phiAsp2,Heunggongvirae,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,
